place,name,points,level
1  ,Wenger Kilian ,58.50,
4a ,Glarner Matthias ,57.00,
4d ,Gnägi Florian ,57.00,
5c ,Anderegg Simon ,56.75,
6a ,Burkhalter Stefan ,56.50,
7a ,von Ah Benji ,56.25,
7d ,Bless Michael ,56.25,
8c ,Kläy Jean-Philippe ,56.00,
9c ,Gäggeler Adrian ,55.75,
9f ,Bloch Dominik ,55.75,
10b ,Urfer Simon ,55.50,
10e ,Kohler David ,55.50,
10h ,Leuenberger Michael ,55.50,
10k ,Aeschbacher Jakob ,55.50,
10n ,Spring Marc ,55.50,
10q ,Lauener Thomas ,55.50,
11c ,Rolli Martin ,55.25,
11f ,Röthlisberger Simon ,55.25,
12a ,Wüthrich Niklaus ,55.00,
12d ,Blatter Samuel ,55.00,
13c ,Zenger Michael ,54.75,
13f ,Gehrig Damian ,54.75,
14c ,Kappeler Ruedi ,54.50,
14f ,Kämpf Lorenz ,54.50,
14i ,Staub Mael ,54.50,
15b ,Burger Fredy ,54.25,
15e ,Haldimann Markus ,54.25,
15h ,Stämpfli Lorenz ,54.25,
15k ,Gerber Marco ,54.25,
15n ,Zindel Thomas ,54.25,
16c ,Walther Tobias ,54.00,
16f ,Leuenberger Thomas ,54.00,
16i ,von Känel Daniel ,54.00,
16l ,Fink Beat ,54.00,
17b ,Schenkel Remo ,53.75,
18a ,Michel Jonas ,53.50,
19b ,Fankhauser Reto ,53.25,
20c ,Graber Bänz ,53.00,
20f ,Flühmann Michel ,53.00,
21c ,Nägeli Niklaus ,52.75,
22a ,Klossner Adrian ,52.50,
24a ,Wittwer Josias ,35.25,
25b ,Gilgen Pierre ,34.75,
26c ,Kocher Beat ,34.50,
27a ,Schmid Lars ,34.25,
27d ,Bremgartner Marcel ,34.25,
29a ,Siegenthaler Fritz ,18.25,
2  ,Sempach Matthias ,57.50,
4b ,Lauper Hansruedi ,57.00,
5a ,Zbinden Stefan ,56.75,
5d ,Habegger Heinz ,56.75,
6b ,Zaugg Thomas ,56.50,
7b ,Ulrich Andreas ,56.25,
8a ,Fankhauser Kurt ,56.00,
9a ,Roschi Ruedi ,55.75,
9d ,Luginbühl Simon ,55.75,
9g ,Reimann Thomas ,55.75,
10c ,Tschanz Richard ,55.50,
10f ,Wittwer René ,55.50,
10i ,Kohler Rolf ,55.50,
10l ,Zenger Niklaus ,55.50,
10o ,Aeschbacher Matthias ,55.50,
11a ,Lanz Christian ,55.25,
11d ,Oester Thomas ,55.25,
11g ,Müllener Armin ,55.25,
12b ,Schenk Patrick ,55.00,
13a ,Gnägi Christian ,54.75,
13d ,Notter Thomas ,54.75,
14a ,Quartenoud Maxime ,54.50,
14d ,Graber Bruno ,54.50,
14g ,Wälti Christoph ,54.50,
14j ,Jampen Simon ,54.50,
15c ,Zbinden Reto ,54.25,
15f ,Blaser Roman ,54.25,
15i ,Reust Markus ,54.25,
15l ,Brönnimann Ronny ,54.25,
16a ,Graber Alfred ,54.00,
16d ,Scheidegger Markus ,54.00,
16g ,Wiedmer Thomas ,54.00,
16j ,Salzmann Simon ,54.00,
16m ,Scheuner Michael ,54.00,
17c ,Kobel Lorenz ,53.75,
18b ,Camenzind Ivan ,53.50,
20a ,Pulver Thomas ,53.00,
20d ,Fankhauser Hans-Jakob,53.00,
21a ,Aebi Roger,52.75,
21d ,Mosimann Fabian,52.75,
22b ,Habegger Jürg ,52.50,
24b ,Jenzer Janick ,35.25,
26a ,Weyermann Florian ,34.50,
26d ,Brügger Christoph ,34.50,
27b ,Messer Marco ,34.25,
28a ,Stucki Daniel ,34.00,
29b ,Reichen Stefan ,18.25,
3  ,Salzmann Beat ,57.25,
4c ,Lengacher Jonas ,57.00,
5b ,Luginbühl Hanspeter ,56.75,
5e ,Graber Willy ,56.75,
6c ,Sempach Thomas ,56.50,
7c ,Schenkel Adrian ,56.25,
8b ,Kämpf Bernhard ,56.00,
9b ,Kämpf Marcel ,55.75,
9e ,Gerber Christian ,55.75,
10a ,Wiedmer Mathias ,55.50,
10d ,Tschachtli Stephan ,55.50,
10g ,Schmid Reto ,55.50,
10j ,Dick Christian ,55.50,
10m ,von Weissenfluh Kevin ,55.50,
10p ,Marti Stefan ,55.50,
11b ,Berger René ,55.25,
11e ,Kämpf Simon ,55.25,
11h ,Moser Michael ,55.25,
12c ,Kämpf Alexander ,55.00,
13b ,Schütz Urs ,54.75,
13e ,Bohner Simon ,54.75,
14b ,Krebs Andreas ,54.50,
14e ,Meuter Adrian ,54.50,
14h ,von Büren Stephan ,54.50,
15a ,Tellenbach Martin ,54.25,
15d ,Haldimann Martin ,54.25,
15g ,Blaser Jan ,54.25,
15j ,Reusser Philipp ,54.25,
15m ,Bohren Ruedi ,54.25,
16b ,Zaugg Res ,54.00,
16e ,Ruch Florian ,54.00,
16h ,Weyermann Michael ,54.00,
16k ,Kestenholz Christian ,54.00,
17a ,Siegenthaler Adrian ,53.75,
17d ,Thomet Adrian ,53.75,
19a ,Waber Lorenz ,53.25,
20b ,Leuenberger Michael ,53.00,
20e ,Niederhäuser Martin ,53.00,
21b ,Zürcher Kurt ,52.75,
21e ,Christen Rafael ,52.75,
23,Kropf Thomas ,35.50,
25a ,Isler David ,34.75,
26b ,Krebs Ueli ,34.50,
26e ,Allenbach Björn ,34.50,
27c ,Gehrig Philipp ,34.25,
28b ,Heeb Thierry ,34.00,
