place,name,points,level
1  ,Sempach Matthias ,59.50,
3b ,Bohner Simon ,57.25,
4b ,Zaugg Thomas ,57.00,
5c ,Gisler Bruno ,56.75,
5f ,Wiedmer Mathias ,56.75,
6c ,Luginbühl Hanspeter ,56.50,
7b ,Sempach Thomas ,56.25,
8a ,Habegger Heinz ,56.00,
8d ,Kämpf Bernhard ,56.00,
9a ,Gerber Christian ,55.75,
9d ,Wampfler Beat ,55.75,
10c ,Gäggeler Adrian ,55.50,
10f ,Oester Thomas ,55.50,
10i ,Urfer Simon ,55.50,
10l ,Zaugg Res ,55.50,
11c ,Röthlisberger Simon ,55.25,
11f ,Schenkel Remo ,55.25,
12c ,Bremgartner Marcel ,55.00,
12f ,Staub Maël ,55.00,
12i ,Käser Remo ,55.00,
13c ,Aeschbacher Matthias ,54.75,
13f ,Leuenberger Michael ,54.75,
13i ,Dober Bruno ,54.75,
14b ,Lanz Christian ,54.50,
14e ,Brodard Simon ,54.50,
14h ,Sempach Stefan ,54.50,
14k ,Fankhauser Kurt ,54.50,
15b ,Lauener Thomas ,54.25,
15e ,Graber Bruno ,54.25,
15h ,Waber Lorenz ,54.25,
16c ,Riesen Julian ,54.00,
16f ,Wüthrich Philip ,54.00,
17b ,Graber Bänz ,53.75,
17e ,Niederhäuser Martin ,53.75,
18c ,Leuenberger Michael ,53.50,
19b ,Zehnder Jürg ,53.25,
20b ,Gerber Thomas ,53.00,
20e ,Mosimann Fabian ,53.00,
21b ,Walther Tobias ,52.75,
23b ,Blaser Roman ,35.50,
23e ,Meyer Reto ,35.50,
23h ,Salzmann Simon ,35.50,
24c ,Glauser Daniel ,35.25,
24f ,Krebs Ueli ,35.25,
24i ,Wüthrich Alexander ,35.25,
26a ,Heiniger Michael ,34.50,
27b ,Messer Marco ,34.25,
28b ,Huber Christian ,34.00,
28e ,Trachsel Daniel ,34.00,
30a ,Quartenoud Maxim ,8.50,
2  ,Stucki Christian ,57.50,
3c ,Laimbacher Adi ,57.25,
5a ,Glarner Matthias ,56.75,
5d ,Maurer Reto ,56.75,
6a ,Siegenthaler Matthias ,56.50,
6d ,Meuter Adrian ,56.50,
7c ,Wüthrich Niklaus ,56.25,
8b ,Bösch Daniel ,56.00,
8e ,Jampen Simon ,56.00,
9b ,Graber Alfred ,55.75,
10a ,Blatter Samuel ,55.50,
10d ,Kämpf Simon ,55.50,
10g ,Scheuner Michael ,55.50,
10j ,Wyss Kilian ,55.50,
11a ,Mösching Andy ,55.25,
11d ,Bohren Ruedi ,55.25,
12a ,Brunner Marcel ,55.00,
12d ,Michel Jonas ,55.00,
12g ,Zimmermann Matthias ,55.00,
13a ,Fankhauser Thomas ,54.75,
13d ,Brügger Christoph ,54.75,
13g ,Reusser Philipp ,54.75,
13j ,Gerber Marco ,54.75,
14c ,Ramseier Fritz ,54.50,
14f ,Ingold Dominic ,54.50,
14i ,Sommer Roman ,54.50,
14l ,Niederberger Joel ,54.50,
15c ,Roth Philipp ,54.25,
15f ,Habegger Jürg ,54.25,
16a ,Brönimann Christian ,54.00,
16d ,Schenk Thomas ,54.00,
16g ,Kobel Lorenz ,54.00,
17c ,Klossner Daniel ,53.75,
18a ,Spring Stefan ,53.50,
18d ,Roth Dominik ,53.50,
19c ,Stämpfli Lorenz ,53.25,
20c ,Mathys Simon ,53.00,
20f ,Ramseier Thomas ,53.00,
22,Kämpf Alexander ,36.00,
23c ,Dummermuth Ueli ,35.50,
23f ,Morgenthaler Pascal ,35.50,
24a ,Blaser Jan ,35.25,
24d ,Isler Markus ,35.25,
24g ,Marti Stefan ,35.25,
25a ,Brönnimann Ronny ,35.00,
26b ,Kappeler Niklaus ,34.50,
27c ,von Gunten Fabian ,34.25,
28c ,Jossen Reinhard ,34.00,
28f ,von Känel Daniel ,34.00,
30b ,Stucki Daniel ,8.50,
3a ,Anderegg Simon ,57.25,
4a ,Graber Willy ,57.00,
5b ,Gnägi Florian ,56.75,
5e ,Schenkel Adrian ,56.75,
6b ,Dick Christian ,56.50,
7a ,Gehrig Damian ,56.25,
7d ,Bieri Christoph ,56.25,
8c ,Forrer Arnold ,56.00,
8f ,Salzmann Beat ,56.00,
9c ,Zenger Michael ,55.75,
10b ,Fankhauser André ,55.50,
10e ,Moser Michael ,55.50,
10h ,Thomet Adrian ,55.50,
10k ,Wälti Christoph ,55.50,
11b ,Berger René ,55.25,
11e ,Lengacher Jonas ,55.25,
12b ,Weyermann Michael ,55.00,
12e ,Schütz Urs ,55.00,
12h ,Zürcher Kurt ,55.00,
13b ,Zbinden Reto ,54.75,
13e ,Kocher Beat ,54.75,
13h ,von Büren Stephan ,54.75,
14a ,Burger Fredy ,54.50,
14d ,Reust Markus ,54.50,
14g ,Kämpf Marcel ,54.50,
14j ,Tschanz Richard ,54.50,
15a ,Eggimann Claudio ,54.25,
15d ,Steffen Konrad ,54.25,
15g ,Pulver Thomas ,54.25,
16b ,Gilgen Pierre ,54.00,
16e ,Siegenthaler Hans ,54.00,
17a ,Fankhauser Hans-Jakob ,53.75,
17d ,Rolli Martin ,53.75,
18b ,Christen Rafael ,53.50,
19a ,Kestenholz Christian ,53.25,
20a ,Kappeler Ruedi ,53.00,
20d ,Wittwer Josias ,53.00,
21a ,Klossner Adrian ,52.75,
23a ,Aebi Roger ,35.50,
23d ,"Flühmann Michel  35,50",35.50,
23g ,Rufener Markus ,35.50,
24b ,Fankhauser Reto ,35.25,
24e ,Joss David ,35.25,
24h ,Siegenthaler Jürg ,35.25,
25b ,Tellenbach Martin ,35.00,
27a ,Kämpf Lorenz ,34.25,
28a ,Allenbach Björn ,34.00,
28d ,Karlen Pascal ,34.00,
29a ,Lauper Urs ,26.75,
31a ,Hostettler Fabian ,0.00,
