place,name,points,level
1  ,Wenger Kilian ,58.75,
4  ,Zaugg Thomas ,58.00,
6a ,Gnägi Florian ,57.25,
7a ,Glarner Matthias ,57.00,
8b ,Schenkel Adrian ,56.75,
8e ,Kläy Jean-Philippe ,56.75,
10b ,Kämpf Bernhard ,56.25,
11b ,Lengacher Jonas ,56.00,
11e ,Meuter Adrian ,56.00,
12a ,Roth Philipp ,55.75,
12d ,Huber Cederic ,55.75,
13a ,Blatter Samuel ,55.50,
13d ,Notz Beni ,55.50,
13g ,Wüthrich Niklaus ,55.50,
13j ,Hänni Wiliam ,55.50,
14c ,Salzmann Beat ,55.25,
15b ,Fankhauser Kurt ,55.00,
15e ,Brunner Marcel ,55.00,
15h ,Scheidegger Adrian ,55.00,
15k ,Wyss Kilian ,55.00,
16c ,Blaser Roman ,54.75,
16f ,Staub Maël ,54.75,
17a ,Ramseier Fritz ,54.50,
17d ,Bremgartner Marcel ,54.50,
18a ,Zürcher Remo ,54.25,
18d ,Schenk Thomas ,54.25,
18g ,Graber Bruno ,54.25,
18j ,Siegrist Silas ,54.25,
18m ,Renfer Lukas ,54.25,
19c ,Heiniger Michael ,54.00,
19f ,Gehrig Philipp ,54.00,
20b ,Steffen Gustav ,53.75,
21c ,Wälchli Roger ,53.25,
21f ,Krebs Ueli ,53.25,
21i ,Fankhauser Hans-Jakob ,53.25,
22c ,Leuenberger Michael ,53.00,
22f ,Burger Fredy ,53.00,
23,Kappeler Ruedi ,52.75,
24c ,Klossner Adrian ,52.50,
26b ,Walther Tobias ,35.25,
26e ,Leuenberger Thomas ,35.25,
27b ,Bohren Ruedi ,35.00,
28c ,Gnägi Christian ,34.75,
29a ,Siegenthaler Hans ,34.50,
29d ,Brönimann Christian ,34.50,
31a ,von Känel Daniel ,34.00,
32b ,Graber Alfred ,17.00,
2  ,Anderegg Simon ,58.50,
5a ,Sempach Matthias ,57.50,
6b ,Gerber Christian ,57.25,
7b ,Siegenthaler Matthias ,57.00,
8c ,Leuenberger Michael ,56.75,
9  ,Jampen Simon ,56.50,
10c ,Aeschbacher Matthias ,56.25,
11c ,Scheuber Lutz ,56.00,
11f ,Marti Stefan ,56.00,
12b ,Gäggeler Adrian ,55.75,
12e ,Gäumann Stefan ,55.75,
13b ,Wampfler Beat ,55.50,
13e ,Mathys Simon ,55.50,
13h ,Studer Stefan ,55.50,
14a ,Zürcher Kurt ,55.25,
14d ,Käser Remo ,55.25,
15c ,Blaser Jan ,55.00,
15f ,Tschanz Richard ,55.00,
15i ,Rolli Martin ,55.00,
16a ,Zehnder Jürg ,54.75,
16d ,Wälti Christoph ,54.75,
16g ,Luginbühl Simon ,54.75,
17b ,Pulfer Thomas ,54.50,
17e ,Wiedmer Thomas ,54.50,
18b ,Kämpf Alexander ,54.25,
18e ,Michel Jonas ,54.25,
18h ,Fankhauser Reto ,54.25,
18k ,Locher Alfred ,54.25,
19a ,Zimmermann Matthias ,54.00,
19d ,Haenni Stephane ,54.00,
19g ,Inniger Thomas ,54.00,
21a ,Lanz Christian ,53.25,
21d ,Wittwer Josias ,53.25,
21g ,Stämpfli Lorenz ,53.25,
22a ,Zenger Michael ,53.00,
22d ,Kropf Thomas ,53.00,
22g ,Aebi Roger ,53.00,
24a ,Vonlanthen Cyril ,52.50,
25,Eggimann Claudio ,35.50,
26c ,Siegenthaler Adrian ,35.25,
26f ,Kämpf Peter ,35.25,
28a ,Lehmann Ueli ,34.75,
28d ,Fankhauser Thomas ,34.75,
29b ,Roth Dominik ,34.50,
30a ,Iseli Marco ,34.25,
31b ,Trachsel Daniel ,34.00,
33,Habegger Jürg ,8.50,
3  ,Graber Willy ,58.25,
5b ,Sempach Thomas ,57.50,
6c ,Zenger Niklaus ,57.25,
8a ,Bloch Dominic ,56.75,
8d ,Reusser Philipp ,56.75,
10a ,Thomet Adrian ,56.25,
11a ,Schütz Urs ,56.00,
11d ,Müllenstein Mike ,56.00,
11g ,Schenk Patrick ,56.00,
12c ,Roschi Ruedi ,55.75,
12f ,Waber Lorenz ,55.75,
13c ,Schmid David ,55.50,
13f ,Berger René ,55.50,
13i ,Schmid Reto ,55.50,
14b ,Wiedmer Mathias ,55.25,
15a ,Scheuner Michael ,55.00,
15d ,Weyermann Florian ,55.00,
15g ,Schenkel Remo ,55.00,
15j ,Moser Michael ,55.00,
16b ,Luginbühl Hanspeter ,54.75,
16e ,Oester Thomas ,54.75,
16h ,Gehrig Damian ,54.75,
17c ,Kämpf Marcel ,54.50,
17f ,Dick Christian ,54.50,
18c ,Weyermann Michael ,54.25,
18f ,Habegger Heinz ,54.25,
18i ,Steffen Konrad ,54.25,
18l ,Hadorn Christian ,54.25,
19b ,Ingold Dominic ,54.00,
19e ,Allenbach Simon ,54.00,
20a ,Tellenbach Martin ,53.75,
21b ,Jäggi Lukas ,53.25,
21e ,Reust Markus ,53.25,
21h ,Mösching Andy ,53.25,
22b ,Urfer Simon ,53.00,
22e ,Kropf Christoph ,53.00,
22h ,Reichen Stefan ,53.00,
24b ,Messer Marco ,52.50,
26a ,Zbinden Reto ,35.25,
26d ,Salzmann Simon ,35.25,
27a ,Isler Markus ,35.00,
28b ,Götte Urban ,34.75,
28e ,Aellen Florian ,34.75,
29c ,Glauser Daniel ,34.50,
30b ,Graber Bänz ,34.25,
32a ,Kohler Adrian ,17.00,
