place,name,points,level
1,Orlik Armon ***,59.00,***
3,Hersche Martin ***,57.75,***
4 c,Wicki Joel **,57.50,**
5 c,Krähenbühl Tobias ***,57.25,***
6 c,Dändliker Shane *,57.00,*
7 c,Wenger Kilian ***,56.75,***
8 a,Kuster Marcel ***,56.50,***
8 d,Gmür Pirmin **,56.50,**
Nordo,chweizer Schwingerverband,,Schwingerverband
2 a,Schneider Domenic ***,58.25,***
4 a,Roth Martin *,57.50,*
5 a,Leuppi Samir **,57.25,**
6 a,Bless Michael ***,57.00,***
7 a,Aeschbacher Matthias **,56.75,**
7 d,Battaglia Ursin **,56.75,**
8 b,Rhyner Michael **,56.50,**
8 e,Herger Matthias **,56.50,**
2 b,Rychen Roger ***,58.25,***
4 b,Geisser Lars **,57.50,**
5 b,Zwyssig Raphael ***,57.25,***
6 b,Bösch Daniel ***,57.00,***
7 b,Schneider Mario **,56.75,**
7 e,Ott Damian (2000) *,56.75,*
8 c,Dumelin David *,56.50,*
9 a,Gwerder Andreas **,56.25,**
9 b,Steiner Michael **,56.25,**
10 c,Haenni Stéphane **,56.00,**
11 b,Gartmann Mauro *,55.75,*
11 e,Eugster Ruedi **,55.75,**
11 h,Matthey Mickaël **,55.75,**
11 k,von Ah Benji ***,55.75,***
11 n,Poltera Andrin *,55.75,*
12 b,Kuster Thomas *,55.50,*
12 e,Vollenweider Jeremy *,55.50,*
Nordo,chweizer Schwingerverband,,Schwingerverband
10 a,Koch Reto *,56.00,*
10 d,Oertig Dominik **,56.00,**
11 c,Holenstein Christian *,55.75,*
11 f,Fuster Sepp,55.75,Sepp
11 i,Schnurrenberger Roman **,55.75,**
11 l,Zbinden Marc *,55.75,*
11 o,Schmid Dominik **,55.75,**
12 c,Piemontesi Pascal **,55.50,**
12 f,Oettli Silvio (2000),55.50,(2000)
10 b,Döbeli Andreas *,56.00,*
11 a,Bühler Hannes *,55.75,*
11 d,Burkhalter Stefan ***,55.75,***
11 g,Kid Simon **,55.75,**
11 j,Voggensperger Janic **,55.75,**
11 m,Oettli Marco *,55.75,*
12 a,Breitenmoser Manuel *,55.50,*
12 d,Räbsamen Marcel (2000),55.50,(2000)
12 g,Riget Florian *,55.50,*
12 h,Schmid Patrick *,55.50,*
12 k,Bernold Michael *,55.50,*
12 n,Kropf Marcel **,55.50,**
13 b,Bischof Martin,55.25,Martin
13 e,Heierli Pascal *,55.25,*
13 h,Pianta Christian,55.25,Christian
13 k,Kamer Hanspeter *,55.25,*
13 n,Schläpfer Matthias *,55.25,*
14 b,Kolb Pirmin (2001),55.00,(2001)
Nordo,chweizer Schwingerverband,,Schwingerverband
12 i,Wickli Beat **,55.50,**
12 l,Giger Urs *,55.50,*
12 o,Notz Beni ***,55.50,***
13 c,Bollhalder Manuel (2001),55.25,(2001)
13 f,Inauen Aurel,55.25,Aurel
13 i,Roschi Ruedi **,55.25,**
13 l,Koch Thomas *,55.25,*
13 o,Schlegel Reto *,55.25,*
14 c,Wittenwiler Roman *,55.00,*
12 j,Aebli Nino (2000),55.50,(2000)
12 m,Jörger Corsin,55.50,Corsin
13 a,Bärtsch Fabian (2000),55.25,(2000)
13 d,Gosswiler Livio (2000) *,55.25,*
13 g,Oertle Daniel *,55.25,*
13 j,Schlegel Werner (2002) *,55.25,*
13 m,Riget Tobias **,55.25,**
14 a,Arztmann Beda *,55.00,*
14 d,Ammann Rico *,55.00,*
14 e,Krähenbühl Lukas *,55.00,*
16 a,Bickel Roman *,54.50,*
16 d,Ackermann Remo *,54.50,*
16 g,Rüegg Fabian *,54.50,*
17 b,Büchler Remo **,54.25,**
17 e,Odermatt Michi,54.25,Michi
17 h,Funk Nicola *,54.25,*
17 k,Frick Andreas *,54.25,*
17 n,Odermatt Christoph *,54.25,*
Nordo,chweizer Schwingerverband,,Schwingerverband
15 a,Hauser Simon,54.75,Simon
16 b,Rüegg Roman *,54.50,*
16 e,Bernold Christian **,54.50,**
16 h,Oertig Simon *,54.50,*
17 c,Jörger Marc *,54.25,*
17 f,Schläpfer Markus **,54.25,**
17 i,Notz Armin *,54.25,*
17 l,Jöhl Christian *,54.25,*
18 a,Hobi Ignaz,54.00,Ignaz
15 b,Keller Werner,54.75,Werner
16 c,Wetter Silvan (2000),54.50,(2000)
16 f,Elmer Adrian *,54.50,*
17 a,Baumann Rico *,54.25,*
17 d,Koller Fabian *,54.25,*
17 g,Buchmann Michael,54.25,Michael
17 j,Vestner Roman *,54.25,*
17 m,Lehmann Philipp,54.25,Philipp
18 b,Kunz Daniel *,54.00,*
18 c,Landolt Reto *,54.00,*
18 f,Straub Robin *,54.00,*
19 a,Rotach Lars (2000),53.75,(2000)
19 d,Schwyn Patrick,53.75,Patrick
20 b,Vollmeier Sandro,53.50,Sandro
21 c,Vestner Bruno *,53.25,*
21 f,Tritten Robin,53.25,Robin
22 c,Ochsner Reto (2000),53.00,(2000)
23 a,Wildhaber Jannik,52.75,Jannik
Nordo,chweizer Schwingerverband,,Schwingerverband
18 d,Nägeli Roman *,54.00,*
18 g,Ackermann Roman,54.00,Roman
19 b,Hugelshofer Lars (2001),53.75,(2001)
19 e,Wey Nicola *,53.75,*
21 a,Kammermann Thomas *,53.25,*
21 d,Roth Peter,53.25,Peter
22 a,Wettstein Daniel,53.00,Daniel
22 d,Thoma Christoph,53.00,Christoph
23 b,Bürgler Patrick,52.75,Patrick
18 e,Rohner Lukas (2000),54.00,(2000)
18 h,Burkhard Tobias,54.00,Tobias
19 c,Kobler Janosch (2000),53.75,(2000)
20 a,Schuler Martin,53.50,Martin
21 b,Neﬀ Florian,53.25,Florian
21 e,Schwyn Adrian *,53.25,*
22 b,Lanter Christian,53.00,Christian
22 e,Ueltschi Patric *,53.00,*
23 c,Schnyder Christian,52.75,Christian
24 a,Flütsch Marco,52.50,Marco
26,Castelli Fabio,36.00,Fabio
28 b,Hari Michi,35.25,Michi
29 a,Rüegg Patrick,35.00,Patrick
30 a,Peng Mike ***,34.75,***
32 a,Pﬁster Florian *,34.25,*
33 a,Furrer Matthias,34.00,Matthias
34,Marty Jaime (2000),27.25,(2000)
37,Büsser André *,26.00,*
40,Bühler Ernst **,8.50,**
* Kan,nal- bzw. Gauverbandskranzschwin,ger ** T,Gauverbandskranzschwin
Nordo,chweizer Schwingerverband,,Schwingerverband
24 b,Horner Sämi,52.50,Sämi
27,Dörig Erich *,35.50,*
28 c,Ziegler Andreas (2002),35.25,(2002)
29 b,Tremp Remo,35.00,Remo
30 b,Schegg Daniel (2000),34.75,(2000)
32 b,Rütsche Stefan *,34.25,*
33 b,Schiesser Patrik,34.00,Patrik
35,Fausch Kjetil *,27.00,*
38,Hochholdinger Roman **,25.75,**
lverb,dskranzschwinger *** Eidg. Kranzs,chwinge,Kranzs
25,Morger Adrian *,46.25,*
28 a,Baumgartner Ramon (2002),35.25,(2002)
28 d,Zumbach Michael,35.25,Michael
29 c,Riedi Thomas,35.00,Thomas
31,Steiner Joel (2000),34.50,(2000)
32 c,Arnold Christian,34.25,Christian
33 c,Wolfer Lukas *,34.00,*
36,Mettler Valentin *,26.75,*
39,Schäppi Urs *,25.50,*
