place,name,points,level
1 a,Müllestein Mike ***,57.75,***
2,Alpiger Nick ***,57.50,***
3 c,Widmer Tobias **,57.00,**
4 c,Voggensperger Janic **,56.75,**
5 c,Stoll Simon *,56.50,*
7 b,Hügli Kaj **,56.00,**
7 e,Odermatt Adrian (2001) *,56.00,*
8 a,Voggensperger Lars (2001),55.75,(2001)
8 d,Ulrich Andreas ***,55.75,***
Nord,tschweizerischer Schwingerverband,,Schwingerverband
1 b,Giger Samuel ***,57.75,***
3 a,Anderegg Simon ***,57.00,***
4 a,Leuthard Reto *,56.75,*
5 a,Hauri Urs **,56.50,**
6,Gapany Benjamin **,56.25,**
7 c,Orlik Curdin **,56.00,**
7 f,Stüdeli Thomas **,56.00,**
8 b,Kramer Franz *,55.75,*
8 e,Döbeli Lukas (2000) **,55.75,**
1 c,Schmid David ***,57.75,***
3 b,Kropf Marcel **,57.00,**
4 b,Rychen Roger ***,56.75,***
5 b,Widmer David,56.50,David
7 a,Räber Lukas *,56.00,*
7 d,Döbeli Andreas *,56.00,*
7 g,Schillig Willi **,56.00,**
8 c,Schmutz Adrian *,55.75,*
8 f,Scherrer Johann **,55.75,**
8 g,Vieira Tiago **,55.75,**
9 c,Anderegg David *,55.50,*
9 f,Schmid Samuel **,55.50,**
10 b,Probst Gabriel **,55.25,**
10 e,Studinger Stephan **,55.25,**
10 h,Gerber Manuel *,55.25,*
10 k,Stark Urban (2000),55.25,(2000)
10 n,Winiger Fabian **,55.25,**
Nord,tschweizerischer Schwingerverband,,Schwingerverband
9 a,Brand Christian **,55.50,**
9 d,Bader Andreas **,55.50,**
9 g,Erb Roger **,55.50,**
10 c,Ris Jörn,55.25,Jörn
10 f,Bieli Andreas,55.25,Andreas
10 i,Räbmatter Patrick ***,55.25,***
10 l,Steinmann Yves *,55.25,*
10 o,Burren Patrick,55.25,Patrick
9 b,Stoﬀel Marc **,55.50,**
9 e,Mangold Michael **,55.50,**
10 a,Bearda Samuel **,55.25,**
10 d,Rüegger Aaron *,55.25,*
10 g,Brügger Joël (2000),55.25,(2000)
10 j,Schwegler Dominik,55.25,Dominik
10 m,Streich Sascha (2001),55.25,(2001)
10 p,Stegmüller Klemens *,55.25,*
11 a,Burkhardt Roy,55.00,Roy
11 d,Stalder Remo ***,55.00,***
12 a,Brodard Augustin **,54.75,**
12 d,Bachmann Sämi (2001),54.75,(2001)
12 g,Studer Remo *,54.75,*
13 c,Reinhard Pirmin (2001),54.50,(2001)
14 b,Gerber Andrj (2000) *,54.25,*
14 e,Reinhard Adrian *,54.25,*
14 h,Hasler Luis (2002),54.25,(2002)
Nord,tschweizerischer Schwingerverband,,Schwingerverband
11 b,Leuthard Mario,55.00,Mario
11 e,Joho Philip (2002),55.00,(2002)
12 b,Järmann Florian (2002),54.75,(2002)
12 e,Schmutz Simon (2000),54.75,(2000)
13 a,Kocher Remo **,54.50,**
13 d,Hitz Florian,54.50,Florian
14 c,Küng Marco *,54.25,*
14 f,Dettwiler Patrick,54.25,Patrick
14 i,Lisser Beat *,54.25,*
11 c,Nussbaumer Gabriel,55.00,Gabriel
11 f,Mangold Martin *,55.00,*
12 c,Schaﬀner Samuel **,54.75,**
12 f,Späti Jan (2002),54.75,(2002)
13 b,Kohler Adrian,54.50,Adrian
14 a,Widmer Dino,54.25,Dino
14 d,Moser Matthias *,54.25,*
14 g,Dobler Florian,54.25,Florian
15 a,Bruder Adrian,54.00,Adrian
15 b,Stadler Kevin (2002),54.00,(2002)
15 e,Jakober Daniel,54.00,Daniel
16 a,Bieri Florian (2001),53.75,(2001)
16 d,Loosli Adrian,53.75,Adrian
17 a,Brunner Patrick (2002),53.50,(2002)
17 d,Roth Christian,53.50,Christian
19 a,Schaub Florent,53.00,Florent
20 b,Vogt Fredy (2001),52.75,(2001)
20 e,Regenass Reto (2000),52.75,(2000)
Nord,tschweizerischer Schwingerverband,,Schwingerverband
15 c,Vogel Remo (2001) *,54.00,*
15 f,Körkel Yannik,54.00,Yannik
16 b,Fritz Christian,53.75,Christian
16 e,Nyﬀenegger Florian (2001),53.75,(2001)
17 b,Waldner Patrick **,53.50,**
18 a,Arnold Kornel *,53.25,*
19 b,Müller Jan,53.00,Jan
20 c,Meyer Markus,52.75,Markus
21,Herrmann Adrian (2000),52.50,(2000)
15 d,Grieder Nonda,54.00,Nonda
15 g,Müller Christian,54.00,Christian
16 c,Grossmann Andreas,53.75,Andreas
16 f,Schwob Marco,53.75,Marco
17 c,Gisin Yanic,53.50,Yanic
18 b,Müller Simon,53.25,Simon
20 a,Meyer Lukas (2001),52.75,(2001)
20 d,Nussbaumer Dominik,52.75,Dominik
22 a,Brack Simon,35.25,Simon
22 b,Huber Fabian,35.25,Fabian
22 e,Senn Marco,35.25,Marco
23 c,Märki Fabian (2001),34.00,(2001)
24,Bieri Christoph ***,17.50,***
* Kan,nal- bzw. Gauverbandskranzschwin,ger ** T,Gauverbandskranzschwin
Nord,tschweizerischer Schwingerverband,,Schwingerverband
22 c,Krebs Clemens *,35.25,*
23 a,Brugger Jonas,34.00,Jonas
23 d,Müller Micha (2001),34.00,(2001)
25,Bader Stefan,8.50,Stefan
lverb,dskranzschwinger *** Eidg. Kranzs,chwinge,Kranzs
22 d,Schmid Justin (2002),35.25,(2002)
23 b,Hermann Lukas (2002),34.00,(2002)
23 e,Peterhans Alex (2000),34.00,(2000)
