place,name,points,level
1,Alpiger Nick ***,59.50,***
3 b,Döbeli Andreas *,57.50,*
5 a,Mangold Michael,57.00,Michael
6 a,Piemontesi Pascal **,56.75,**
6 d,Borcard Johann **,56.75,**
7 b,Döbeli Lukas (2000) *,56.50,*
7 e,Klausner Yanick **,56.50,**
8 c,Voggensperger Janic **,56.25,**
8 f,Moser Michael **,56.25,**
Nord,tschweizerischer Schwingerverband,,Schwingerverband
2,Bieri Christoph ***,58.00,***
4 a,Thürig Mario ***,57.25,***
5 b,Leuppi Samir **,57.00,**
6 b,Thoenen Henryc **,56.75,**
6 e,Studinger Stephan **,56.75,**
7 c,Schmid Samuel **,56.50,**
8 a,Steinmann Yves *,56.25,*
8 d,Henzer Andreas **,56.25,**
8 g,Blatter Lorenz **,56.25,**
3 a,Gisler Bruno ***,57.50,***
4 b,Küng Marco,57.25,Marco
5 c,Erb Roger **,57.00,**
6 c,Räbmatter Patrick ***,56.75,***
7 a,Schillig Willi **,56.50,**
7 d,Odermatt Adrian (2001),56.50,(2001)
8 b,Rüegger Aaron (1999),56.25,(1999)
8 e,Gerber Christian **,56.25,**
9 a,Stoll Simon *,56.00,*
9 b,Vieira Tiago **,56.00,**
9 e,Widmer Tobias **,56.00,**
11 b,Schmutz Simon (2000),55.50,(2000)
11 e,Anderegg David *,55.50,*
11 h,Scherrer Johann **,55.50,**
12 b,Schmutz Adrian *,55.25,*
12 e,Leuthard Reto *,55.25,*
12 h,Hügli Kaj *,55.25,*
13 a,Widmer Dino,55.00,Dino
Nord,tschweizerischer Schwingerverband,,Schwingerverband
9 c,Kropf Marcel **,56.00,**
10,Kämpf Alexander **,55.75,**
11 c,Hauri Urs **,55.50,**
11 f,Waldner Patrick **,55.50,**
11 i,Siegrist Christian,55.50,Christian
12 c,Schaﬀner Samuel **,55.25,**
12 f,Krebs Clemens,55.25,Clemens
12 i,von Arx Christian *,55.25,*
13 b,Jusuﬁ Ilber,55.00,Ilber
9 d,Gerber Andrj (2000),56.00,(2000)
11 a,Schwenkfelder Lukas,55.50,Lukas
11 d,Arnold Kornel *,55.50,*
11 g,Strebel Joel **,55.50,**
12 a,Probst Gabriel **,55.25,**
12 d,Notz Beni ***,55.25,***
12 g,Imobersteg Matthias (2001),55.25,(2001)
12 j,Nussbaumer Gabriel,55.25,Gabriel
13 c,Studer Remo,55.00,Remo
13 d,Schär Simon *,55.00,*
13 g,Furrer Mathias,55.00,Mathias
14 b,Mangold Martin,54.75,Martin
14 e,Moser Matthias *,54.75,*
15 b,Burren Patrick (1999),54.50,(1999)
16 b,Wilhelm Manuel,54.25,Manuel
16 e,Widmer David,54.25,David
16 h,Lisser Daniel *,54.25,*
16 k,Gisin Yanic,54.25,Yanic
Nord,tschweizerischer Schwingerverband,,Schwingerverband
13 e,Lisser Beat,55.00,Beat
13 h,Dind Samuel **,55.00,**
14 c,Jusuﬁ Azret,54.75,Azret
14 f,Brand Christian **,54.75,**
15 c,Brügger Joël (2000),54.50,(2000)
16 f,Traub Manuel,54.25,Manuel
16 i,Horner Peter ***,54.25,***
16 l,Burtschi Michael,54.25,Michael
13 f,Gabathuler Björn,55.00,Björn
14 a,Weber Roger,54.75,Roger
14 d,Bearda Samuel,54.75,Samuel
15 a,Voggensperger Lars (2001),54.50,(2001)
16 a,Widmer Cyrill,54.25,Cyrill
16 d,Hitz Florian (1999),54.25,(1999)
16 g,Rohrbach Jérôme (2000),54.25,(2000)
16 j,Hermann Oliver *,54.25,*
16 m,Büchi Christian,54.25,Christian
17 a,Läuchli Janik (2000),54.00,(2000)
17 d,Leu Dominik (1999),54.00,(1999)
17 g,Müller Jan,54.00,Jan
17 j,Bader Stefan (1999),54.00,(1999)
18 b,Reimann Marco,53.75,Marco
19 a,Müller Christian,53.50,Christian
20,Nyﬀeler Christoph *,53.25,*
22 a,Cezar Romario,52.75,Romario
22 d,Grossmann Andreas,52.75,Andreas
Nord,tschweizerischer Schwingerverband,,Schwingerverband
17 b,Nyﬀenegger Florian (2001),54.00,(2001)
17 e,Graber Colin,54.00,Colin
17 h,Büttler Adrian (1999),54.00,(1999)
17 k,Aeschlimann Fabian (1999),54.00,(1999)
18 c,Nussbaumer Dominik,53.75,Dominik
19 b,Bühler Mark,53.50,Mark
21 a,Schopferer Cyril (2000),53.00,(2000)
22 b,Reinhard Pirmin (2001),52.75,(2001)
22 e,Bieli Andreas,52.75,Andreas
17 c,Müller Simon,54.00,Simon
17 f,Dobler Florian,54.00,Florian
17 i,Burkart Simon,54.00,Simon
18 a,Steger Robert,53.75,Robert
18 d,Büttler Gian (2000),53.75,(2000)
