place,name,points,level
1,Schurtenberger Sven ***,58.50,***
3,Borcard Johann **,57.75,**
5 b,Gapany Benjamin ***,57.25,***
6 b,Moser Steven **,57.00,**
7 b,Arnold Stefan **,56.75,**
7 e,Hofer Sven **,56.75,**
9 a,Droxler Jonathan **,56.25,**
10 b,Sonnay Thomas **,56.00,**
Südw,schweizerischer Schwingerverband,,Schwingerverband
2 a,von Weissenﬂuh Kilian ***,58.00,***
4,Collaud Romain **,57.50,**
5 c,Haenni Stéphane **,57.25,**
6 c,Siegenthaler Leo (2005) *,57.00,*
7 c,Colò Kilian **,56.75,**
8 a,Gottofrey Luc *,56.50,*
9 b,Sturny Nicolas **,56.25,**
10 c,Riedo Fredy *,56.00,*
2 b,Kramer Lario ***,58.00,***
5 a,Dousse Michel **,57.25,**
6 a,Matthey Mickaël **,57.00,**
7 a,Voggensperger Lars **,56.75,**
7 d,Gottofrey Marc **,56.75,**
8 b,Roschi Ruedi **,56.50,**
10 a,Schläpfer Markus **,56.00,**
11 a,Bapst Ludovic,55.75,Ludovic
11 b,Borcard Clovis *,55.75,*
12 a,Collaud Bastien (2005),55.50,(2005)
12 d,Pasquier Loïc *,55.50,*
12 g,Wieland Janis *,55.50,*
13 c,Berger Sascha,55.25,Sascha
13 f,Pürro David *,55.25,*
13 i,Cochrane Benjamin,55.25,Benjamin
13 l,Perret Loïc,55.25,Loïc
14 a,Schwab Livio (2005),55.00,(2005)
Südw,schweizerischer Schwingerverband,,Schwingerverband
11 c,Hayoz Quentin *,55.75,*
12 b,Martin Gaël (2004) *,55.50,*
12 e,Tornare Paul *,55.50,*
13 a,Loup Grégoire,55.25,Grégoire
13 d,Erb Vincent,55.25,Vincent
13 g,Zbinden Silvan (2004),55.25,(2004)
13 j,Crettaz Olivier *,55.25,*
13 m,Rogivue Théo *,55.25,*
14 b,Dubey Gaël *,55.00,*
11 d,Monney Branighan,55.75,Branighan
12 c,Mermillod Jérôme (2004),55.50,(2004)
12 f,Grossenbacher Simon *,55.50,*
13 b,Barras André *,55.25,*
13 e,Hügli Kaj **,55.25,**
13 h,Bucher Roman,55.25,Roman
13 k,Emonet Frédéric **,55.25,**
13 n,Varone Luc *,55.25,*
14 c,Dufey Gil *,55.00,*
14 d,Lauber Grégoire,55.00,Grégoire
15 a,Elmiger Elias,54.75,Elias
15 d,Kramer Dorian **,54.75,**
16 c,Nicolet Bastien (2004),54.50,(2004)
17 b,Hayoz Paul *,54.25,*
17 e,Cottier Marco,54.25,Marco
17 h,Schweizer Jason,54.25,Jason
18 c,Germanier Joel,54.00,Joel
18 f,Suchet Jonathan (2005),54.00,(2005)
Südw,schweizerischer Schwingerverband,,Schwingerverband
14 e,Wieland Timon,55.00,Timon
15 b,Jacquaz Fabien (2006),54.75,(2006)
16 a,Berger Dilan,54.50,Dilan
16 d,Portmann Fabio *,54.50,*
17 c,Aeschbacher Ivo,54.25,Ivo
17 f,Fuchs Sylvain (2005),54.25,(2005)
18 a,Berger Alan,54.00,Alan
18 d,Loup Alexandre *,54.00,*
18 g,Dugué Maël,54.00,Maël
14 f,Dändliker Shane **,55.00,**
15 c,Rey Arnaud,54.75,Arnaud
16 b,Fankhauser Tom (2006),54.50,(2006)
17 a,Fankhauser Hans *,54.25,*
17 d,Balimann Fabian,54.25,Fabian
17 g,Schläﬂi Hugo *,54.25,*
18 b,Choﬄon Anthony,54.00,Anthony
18 e,Neyroud Geoﬀrey,54.00,Geoﬀrey
18 h,Fallegger Riccardo,54.00,Riccardo
18 i,Pürro Tobias,54.00,Tobias
19 b,Blanchard Benjamin,53.75,Benjamin
19 e,Imhasly Jorin,53.75,Jorin
20,Vaucher Rémy,53.50,Rémy
23 a,Jeannin Jess,52.75,Jess
24 a,Carron Léandre (2006),52.50,(2006)
24 d,Roux Blaise,52.50,Blaise
26,Fontaine Anthony (2006),36.75,(2006)
29,Leuenberger Gian (2005),26.75,(2005)
32 °,Duplan Steve ***,0.00,***
* Kan,nal- bzw. Gauverbandskranzschwin,ger ** T,Gauverbandskranzschwin
Südw,schweizerischer Schwingerverband,,Schwingerverband
18 j,Wenger Marco,54.00,Marco
19 c,Burri Flemming,53.75,Flemming
19 f,Perroud Florian,53.75,Florian
21,Dorsaz Théo *,53.25,*
23 b,Merz Sascha,52.75,Sascha
24 b,Flury Maxime,52.50,Maxime
24 e,Vindefeldt Michael,52.50,Michael
27,Sudan Jonathan,34.25,Jonathan
30,Juon Martin,17.00,Martin
lverb,dskranzschwinger *** Eidg. Kranzs,chwinge,Kranzs
19 a,Tornare Philippe (2004),53.75,(2004)
19 d,Fankhauser Yanik,53.75,Yanik
19 g,Zbinden Samuel,53.75,Samuel
22,Elmiger Silvan (2004),53.00,(2004)
23 c,Röthlisberger Sven,52.75,Sven
24 c,Lengen Michael (2005),52.50,(2005)
25,Cardinaux Nicolas,51.00,Nicolas
28,Jost Colin (2004),34.00,(2004)
31,Zbinden Dario (2004) *,8.75,*
