place,name,points,level
1,Orlik Armon ***,58.50,***
3 b,Hurschler Thomas **,57.25,**
4 a,Gloggner Philipp ***,57.00,***
4 d,Schuler Philipp **,57.00,**
5 a,Rohrer Marco **,56.75,**
5 d,Ettlin Martin,56.75,Martin
6 c,Zimmermann Martin **,56.50,**
6 f,Schürpf Bruno *,56.50,*
Ob-/N,alden,,alden
2,Gwerder Dario **,57.50,**
3 c,Reichmuth Marco **,57.25,**
4 b,Bernhard Lukas *,57.00,*
4 e,Ettlin Stefan **,57.00,**
5 b,Rohrer Ueli *,56.75,*
6 a,Bürli Roger **,56.50,**
6 d,Odermatt Christian **,56.50,**
6 g,Imfeld Beat,56.50,Beat
3 a,Herger Matthias **,57.25,**
3 d,Mathis Marcel ***,57.25,***
4 c,Van Messel Noe (2002) *,57.00,*
4 f,Käslin Benno *,57.00,*
5 c,Fellmann Roman **,56.75,**
6 b,Arnold Stefan **,56.50,**
6 e,Ambühl Joel **,56.50,**
7 a,Durrer Jonas (2003),56.25,(2003)
7 b,Wallimann Remo,56.25,Remo
7 e,Heiniger Marco *,56.25,*
7 h,Villiger Cyrill *,56.25,*
8 a,Muﬀ Armin **,56.00,**
8 d,Fässler Dominic **,56.00,**
8 g,Bättig Martin *,56.00,*
8 j,Bieri Christian **,56.00,**
9 c,Scheuber Lutz **,55.75,**
9 f,Hess Dominik *,55.75,*
Ob-/N,alden,,alden
7 c,Nötzli Reto ***,56.25,***
7 f,Zurﬂuh Roman **,56.25,**
7 i,Odermatt Andreas *,56.25,*
8 b,Kempf Elias **,56.00,**
8 e,Blaser Theo *,56.00,*
8 h,Schöpfer Ronny *,56.00,*
9 a,Schuler Alex,55.75,Alex
9 d,Käslin Ruedi *,55.75,*
9 g,Gisler Jonas (2001) *,55.75,*
7 d,Imhof Andi ***,56.25,***
7 g,Waser Adrian,56.25,Adrian
7 j,Burch Jonas *,56.25,*
8 c,Rohrer Ivan **,56.00,**
8 f,Bieri Elias,56.00,Elias
8 i,Scherrer Fabian (2002),56.00,(2002)
9 b,Stöckli Damian *,55.75,*
9 e,Kälin Remo *,55.75,*
9 h,Gasser Stefan **,55.75,**
9 i,Achermann Simon,55.75,Simon
10 a,Schuler Thomas,55.50,Thomas
10 d,Durrer Ueli,55.50,Ueli
10 g,Hürlimann Mathias *,55.50,*
10 j,Zumstein Patrick,55.50,Patrick
10 m,Lustenberger Florian (2002),55.50,(2002)
11 a,Suter Samuel,55.25,Samuel
11 d,Gwerder Carlo **,55.25,**
Ob-/N,alden,,alden
9 j,Niederberger Markus *,55.75,*
10 b,Gasser Peter *,55.50,*
10 e,Zimmermann Simon **,55.50,**
10 h,Gasser Dominik 1,55.50,1
10 k,Waser Christoph (2002),55.50,(2002)
10 n,Langensand Stefan *,55.50,*
11 b,Lustenberger Marc (2003),55.25,(2003)
11 e,Elsener Marcel *,55.25,*
9 k,Durrer Markus,55.75,Markus
10 c,Elsener Adrian **,55.50,**
10 f,Lüthy Ralph,55.50,Ralph
10 i,Bürgi Reto *,55.50,*
10 l,Reichmuth Roland *,55.50,*
10 o,Baumann Marco,55.50,Marco
11 c,Kälin Roland **,55.25,**
11 f,Baumann Lukas,55.25,Lukas
11 g,Widmer Simon,55.25,Simon
11 j,Hürlimann Marco (2002),55.25,(2002)
12 a,Eﬃnger Peter,55.00,Peter
12 d,Gosswiler Livio *,55.00,*
12 g,Amgarten Martin *,55.00,*
12 j,Elmiger Andreas,55.00,Andreas
13 b,Albert Stefan (2002),54.75,(2002)
13 e,Della Torre Simon,54.75,Simon
13 h,Schürpf Guido,54.75,Guido
Ob-/N,alden,,alden
11 h,Suter Beat,55.25,Beat
11 k,Berchtold Kilian (2001),55.25,(2001)
12 b,Troxler Jonas,55.00,Jonas
12 e,Bürgi Michael (2002),55.00,(2002)
12 h,Graber Sandro,55.00,Sandro
12 k,Gander Michael,55.00,Michael
13 c,Gander Adrian *,54.75,*
13 f,Brunner Timon,54.75,Timon
13 i,Reichmuth Lukas *,54.75,*
11 i,Reichmuth Armin *,55.25,*
11 l,Mehr Lars (2002),55.25,(2002)
12 c,Hurschler Tobias (2003),55.00,(2003)
12 f,Barmettler Peter *,55.00,*
12 i,Durrer Nando *,55.00,*
13 a,Suter Raphael,54.75,Raphael
13 d,Ettlin Michael,54.75,Michael
13 g,Waser Raphael,54.75,Raphael
13 j,Grab Daniel **,54.75,**
13 k,Fellmann Simon,54.75,Simon
14 b,Zimmermann Raﬀael,54.50,Raﬀael
14 e,Kaufmann Jens,54.50,Jens
14 h,Rohrer Marco,54.50,Marco
14 k,Barmettler Renato (2003),54.50,(2003)
15 a,Ulrich Michael (2003),54.25,(2003)
15 d,von Ah Markus,54.25,Markus
15 g,Gasser Dominik 2,54.25,2
15 j,Ulrich Damian,54.25,Damian
Ob-/N,alden,,alden
13 l,Röthlin Pascal,54.75,Pascal
14 c,Vogler Jonas,54.50,Jonas
14 f,Gisler Silvan (2002),54.50,(2002)
14 i,Ming Christian 2,54.50,2
14 l,Aebli Nino,54.50,Nino
15 b,Spichtig Aldo,54.25,Aldo
15 e,Schmid Simon *,54.25,*
15 h,Burch Thomas,54.25,Thomas
16 a,Wiget Ueli,54.00,Ueli
14 a,Ming Christian *,54.50,*
14 d,Ming Hannes,54.50,Hannes
14 g,Betschart Roger (2003),54.50,(2003)
14 j,Giger Janik (2002),54.50,(2002)
14 m,Doppmann Ueli,54.50,Ueli
15 c,Durrer Robin *,54.25,*
15 f,Muﬀ Reto,54.25,Reto
15 i,Albert Thomas,54.25,Thomas
16 b,Waser David (2002),54.00,(2002)
16 c,Murpf Dario,54.00,Dario
16 f,Arnold Kilian (2002),54.00,(2002)
17 c,Vogler Jakob,53.75,Jakob
17 f,Kälin Markus (2001),53.75,(2001)
17 i,Hürlimann Ueli (2001),53.75,(2001)
18 c,Arnold Marcel *,53.50,*
19 b,Schmid Joel,53.25,Joel
20 a,Crotta Robin (2001),53.00,(2001)
21 a,Kathriner Severin,52.75,Severin
Ob-/N,alden,,alden
16 d,Egli Adrian (2002),54.00,(2002)
17 a,Bucher André (2001),53.75,(2001)
17 d,Suter Lukas (2002),53.75,(2002)
17 g,Durrer Lukas,53.75,Lukas
