place,name,points,level
1 a,Gapany Benjamin **,58.25,**
3,Hofer Sven *,57.25,*
4 c,Borcard Johann **,57.00,**
6 a,Grossenbacher Simon (2002),56.50,(2002)
7 a,Kropf Rolf **,56.25,**
7 d,Fankhauser Hans (2001),56.25,(2001)
8 c,Rapin Florent *,56.00,*
8 f,Lötscher Adrian *,56.00,*
8 i,Kramer Dorian *,56.00,*
Fribo,eoise,,eoise
1 b,Rolli Martin **,58.25,**
4 a,Ledermann Michael *,57.00,*
4 d,Kramer Lario **,57.00,**
6 b,Roch Vincent **,56.50,**
7 b,Gottofrey Marc **,56.25,**
8 a,Piemontesi Pascal **,56.00,**
8 d,Mollet Ivan *,56.00,*
8 g,Dousse Michel **,56.00,**
9 a,Ramseier Thomas *,55.75,*
2,Staudenmann Fabian **,57.75,**
4 b,Duplan Steve **,57.00,**
5,Matthey Mickaël **,56.75,**
6 c,Ramseier Fritz **,56.50,**
7 c,Derron Cédric *,56.25,*
8 b,Gerber Christian **,56.00,**
8 e,Minder Florian **,56.00,**
8 h,Balimann Sandro (2001),56.00,(2001)
9 b,Loup Alexandre *,55.75,*
9 c,Dind Clément,55.75,Clément
9 f,Zbinden Lukas (2003),55.75,(2003)
10 a,Baeriswyl Christoph (2002),55.50,(2002)
10 d,Hayoz Quentin *,55.50,*
10 g,Nager Yannick,55.50,Yannick
11 b,Niederberger Nicola,55.25,Nicola
11 e,Valvini Maxime,55.25,Maxime
11 h,Colò Kilian **,55.25,**
12 a,Wieland Micha,55.00,Micha
Fribo,eoise,,eoise
9 d,Borcard Clovis,55.75,Clovis
9 g,Varone Hulk *,55.75,*
10 b,Vaucher Rémy,55.50,Rémy
10 e,Brodard Augustin **,55.50,**
10 h,Emonet Fabien **,55.50,**
11 c,Jeannin Jess,55.25,Jess
11 f,Pellet Adrian,55.25,Adrian
11 i,Buchs Julien,55.25,Julien
12 b,Schöpfer Dio **,55.00,**
9 e,Zimmermann Mario *,55.75,*
9 h,Haenni Stéphane **,55.75,**
10 c,Pürro David (2001),55.50,(2001)
10 f,Thomet Adrian **,55.50,**
11 a,Dufey Gil,55.25,Gil
11 g,Pasquier Loïc (2001),55.25,(2001)
11 j,Berset Cyril *,55.25,*
12 c,Kolly Elmar (2002),55.00,(2002)
12 d,Grossenbacher Marc,55.00,Marc
12 g,Guisolan Marc **,55.00,**
13 b,Ganière William,54.75,William
13 e,Ducrest Etienne *,54.75,*
14 b,Dorsaz Théo,54.50,Théo
14 e,Ducry Antoine **,54.50,**
15 c,Perret Loïc (2002),54.25,(2002)
15 f,Egger Benoît (2002),54.25,(2002)
16 b,Zosso Fabian,54.00,Fabian
Fribo,eoise,,eoise
12 e,Golliard Steve,55.00,Steve
12 h,Loup Grégoire,55.00,Grégoire
13 c,Burri Flemming,54.75,Flemming
13 f,Buchs Carlo *,54.75,*
14 c,Schläﬂi Hugo (2002),54.50,(2002)
15 a,Riedo Fredy *,54.25,*
15 d,Monney Branighan,54.25,Branighan
15 g,Tornare Paul (2001),54.25,(2001)
16 c,Zbinden Samuel,54.00,Samuel
12 f,Berthet Luca (2001),55.00,(2001)
13 a,Vonlanthen Alexandre,54.75,Alexandre
13 d,Gottofrey Luc *,54.75,*
14 a,Wieland Timon,54.50,Timon
14 d,Mauron Olivier *,54.50,*
15 b,Balimann Fabian,54.25,Fabian
15 e,Germanier Joel,54.25,Joel
16 a,Hayoz Paul *,54.00,*
16 d,Rappo Yann,54.00,Yann
16 e,Fankhauser Yanik (2002),54.00,(2002)
16 h,Buntschu Christoph,54.00,Christoph
16 k,Rossy Yannick *,54.00,*
16 n,Clément Aurélien (2003),54.00,(2003)
17 b,Cotting Alexandre,53.75,Alexandre
17 e,Imhasly Jorin (2001),53.75,(2001)
17 h,Burri Gottfried (2001),53.75,(2001)
18 c,Beaud Eric,53.50,Eric
Fribo,eoise,,eoise
16 f,Cotting Florian *,54.00,*
16 i,Bapst Richard,54.00,Richard
16 l,Goy Sébastien,54.00,Sébastien
16 o,Bapst Ludovic (2002),54.00,(2002)
17 c,Roth Simon,53.75,Simon
17 f,Heiniger Mickaël,53.75,Mickaël
18 a,Pürro Tobias,53.50,Tobias
18 d,Amez-Droz Arnaud (2002),53.50,(2002)
16 g,Choﬄon Anthony,54.00,Anthony
16 j,Zbinden Jvan (2001),54.00,(2001)
16 m,Cottier Marco,54.00,Marco
17 a,Dubey Gaël *,53.75,*
17 d,Richard Quentin (2003),53.75,(2003)
17 g,Gueissaz Léonard (2003),53.75,(2003)
18 b,Jelk Fabrice (2002),53.50,(2002)
19 a,Sudan Jonathan (2003),52.75,(2003)
19 b,Schönenberger Leo (2002),52.75,(2002)
20 a,Squaratti Yannick,52.50,Yannick
21,Denis Frédéric,52.25,Frédéric
24,Python Benjamin (2002),51.25,(2002)
27,Isoz Bertrand,35.25,Bertrand
29 b,Hirschi Damien (2003),25.50,(2003)
* Kan,nal- bzw. Gauverbandskranzschwin,ger ** T,Gauverbandskranzschwin
Fribo,eoise,,eoise
19 c,Piccand Mathew (2001),52.75,(2001)
