place,name,points,level
1,Gapany Benjamin ***,58.50,***
4 a,Kramer Lario ***,57.00,***
5 b,Colò Kilian **,56.75,**
6 b,Baeriswyl Christoph **,56.50,**
6 e,Ducrest Etienne *,56.50,*
7 b,Pasquier Loïc,56.25,Loïc
8 b,Hayoz Quentin *,56.00,*
9 b,Schläﬂi Hugo *,55.75,*
9 e,Riedo Fredy *,55.75,*
Neuc,eloise,,eloise
2,Moser Steven **,58.00,**
4 b,Schär Alex *,57.00,*
5 c,Dousse Michel **,56.75,**
6 c,Borcard Clovis *,56.50,*
6 f,Hofer Sven **,56.50,**
7 c,Matthey Mickaël **,56.25,**
8 c,Martin Gaël (2004),56.00,(2004)
9 c,Sonnay Thomas **,55.75,**
9 f,Ducry Antoine **,55.75,**
3,Duplan Steve ***,57.25,***
5 a,Balimann Sandro *,56.75,*
6 a,Pürro David,56.50,David
6 d,Portmann Fabio,56.50,Fabio
7 a,Kramer Dorian **,56.25,**
8 a,Gottofrey Marc **,56.00,**
9 a,Gottofrey Luc *,55.75,*
9 d,Sturny Nicolas **,55.75,**
10 a,Siegenthaler Leo (2005),55.50,(2005)
10 b,Berger Sascha,55.50,Sascha
10 e,Haenni Stéphane **,55.50,**
11 c,Zbinden Dario (2004) *,55.25,*
11 f,Vonlanthen Alexandre,55.25,Alexandre
12 c,Dind Samuel **,55.00,**
12 f,Grossenbacher Simon *,55.00,*
13 c,Crettaz Olivier *,54.75,*
13 f,Varone Luc *,54.75,*
14 c,Berger Alan,54.50,Alan
Neuc,eloise,,eloise
10 c,Choﬄon Anthony,55.50,Anthony
11 a,Emonet Frédéric **,55.25,**
11 d,Rogivue Théo *,55.25,*
12 a,Dorsaz Théo *,55.00,*
12 d,Perret Loïc,55.00,Loïc
13 a,Vaucher Rémy,54.75,Rémy
13 d,Monney Branighan,54.75,Branighan
14 a,Loup Grégoire,54.50,Grégoire
14 d,Bucher Roman,54.50,Roman
10 d,Droxler Jonathan **,55.50,**
11 b,Fankhauser Hans *,55.25,*
11 e,Tornare Paul,55.25,Paul
12 b,Piemontesi Pascal **,55.00,**
12 e,Theiler Nils (2004),55.00,(2004)
13 b,Collaud Bastien (2005),54.75,(2005)
13 e,Bapst Ludovic,54.75,Ludovic
14 b,Aeschbacher Ivo,54.50,Ivo
14 e,Minder Florian **,54.50,**
14 f,Clément Aurélien,54.50,Aurélien
14 i,Fuchs Sylvain (2005),54.50,(2005)
15 a,Dufey Gil *,54.25,*
15 d,Tissot Joﬀrey (2006),54.25,(2006)
15 g,Tschanz Jeremy (2006),54.25,(2006)
16 c,Jeannin Jess,54.00,Jess
16 f,Maitre Damien,54.00,Damien
17 a,Jaquier Simon (2004),53.75,(2004)
Neuc,eloise,,eloise
14 g,Erb Vincent,54.50,Vincent
14 j,Germanier Joel,54.50,Joel
15 b,Loup Alexandre *,54.25,*
15 e,Moos Loïc,54.25,Loïc
16 a,Gilgen Cédric (2004),54.00,(2004)
16 d,Röthlisberger Sven,54.00,Sven
16 g,Maridor Loic,54.00,Loic
17 b,Althaus Thiben (2006),53.75,(2006)
14 h,Fankhauser Tom (2006),54.50,(2006)
14 k,Mermillod Jérôme (2004),54.50,(2004)
15 c,Nicolet Bastien (2004),54.25,(2004)
15 f,Schweizer Jason,54.25,Jason
16 b,Fuchs Yannick,54.00,Yannick
16 e,Cochrane Benjamin,54.00,Benjamin
16 h,Zryd Luca,54.00,Luca
17 c,Cottier Marco,53.75,Marco
17 d,Giuliani Johann,53.75,Johann
17 g,Z'Rotz Roman,53.75,Roman
17 j,Balimann Fabian,53.75,Fabian
19,Merz Sascha,53.25,Sascha
21 b,Heiniger Mickaël,52.75,Mickaël
23 a,Flury Maxime,52.25,Maxime
24,Glauser Matis (2005),51.25,(2005)
27,Wieland Micha,28.25,Micha
* Kan,nal- bzw. Gauverbandskranzschwin,ger ** T,Gauverbandskranzschwin
Neuc,eloise,,eloise
17 e,Jonin Jérémy,53.75,Jérémy
17 h,Zryd Teo (2004),53.75,(2004)
18 a,Dubey Gaël *,53.50,*
20,Lauber Grégoire,53.00,Grégoire
22 a,Fernandez Carlos,52.50,Carlos
23 b,Garcia José Luis,52.25,Luis
25,Vindefeldt Michael,51.00,Michael
28,Parvex Bryan,26.75,Bryan
lverb,dskranzschwinger *** Eidg. Kranzs,chwinge,Kranzs
17 f,Von Gunten Damien (2004),53.75,(2004)
17 i,Wieland Timon,53.75,Timon
18 b,Berger Dilan,53.50,Dilan
21 a,Zbinden Samuel,52.75,Samuel
22 b,Pansard Yann,52.50,Yann
23 c,Reichenbach Ryan,52.25,Ryan
26,Pochon Maël,42.50,Maël
