place,name,points,level
1,Wicki Joel ***,58.50,***
3 b,Bieri Marcel ***,57.25,***
4 b,Schurtenberger Sven ***,57.00,***
5 a,Gapany Benjamin ***,56.75,***
6 b,Schlegel Werner **,56.50,**
7 b,Wandeler Roman **,56.00,**
8 c,Geisser Lars **,55.75,**
9 b,Odermatt Christian **,55.50,**
Inner,weizer Schwingerverband,,Schwingerverband
2,Orlik Armon ***,58.00,***
3 c,Collaud Romain **,57.25,**
4 c,Burch Jonas **,57.00,**
5 b,Räbsamen Marcel **,56.75,**
6 c,Schneider Mario **,56.50,**
8 a,Gwerder Dario **,55.75,**
8 d,Duplan Steve ***,55.75,***
9 c,Rotach Lars *,55.50,*
3 a,Rychen Roger ***,57.25,***
4 a,Kramer Lario ***,57.00,***
4 d,Dändliker Shane **,57.00,**
6 a,Moser Steven **,56.50,**
7 a,Kessler Joel *,56.00,*
8 b,Ackermann Remo *,55.75,*
9 a,Borcard Johann **,55.50,**
9 d,Arnold Raphael **,55.50,**
9 e,Felder Martin **,55.50,**
10 b,Bernhard Lukas **,55.25,**
10 e,Hegner Ueli *,55.25,*
10 h,Scherrer Fabian *,55.25,*
11 c,Bucher Thomas **,55.00,**
12 a,Burkhalter Stefan ***,54.75,***
13 a,Betschart Patrick *,54.50,*
13 d,Heinzer Ronny *,54.50,*
14 b,Heinzer Lukas (2004) *,54.25,*
Inner,weizer Schwingerverband,,Schwingerverband
9 f,Kaufmann Reto **,55.50,**
10 c,Oettli Marco **,55.25,**
10 f,Reichmuth Roland *,55.25,*
11 a,Durrer Nando **,55.00,**
11 d,Ettlin Stefan **,55.00,**
12 b,Suppiger Werner **,54.75,**
13 b,Kenel Franz-Toni *,54.50,*
13 e,Schöpfer Ronny **,54.50,**
15 a,Baeriswyl Christoph **,54.00,**
10 a,Murer Andy **,55.25,**
10 d,Riget Florian **,55.25,**
10 g,Röthlin Pascal *,55.25,*
11 b,Matthey Mickaël **,55.00,**
11 e,Kolb This **,55.00,**
12 c,Lustenberger Marc **,54.75,**
13 c,Balimann Sandro *,54.50,*
14 a,Droxler Jonathan **,54.25,**
15 b,Grossenbacher Simon *,54.00,*
15 c,Lemmenmeier Lukas *,54.00,*
15 f,Schuler Alex *,54.00,*
16 a,Herger Fabian *,53.75,*
17 b,Lehmann Philipp **,53.50,**
19 a,Gottofrey Luc *,52.75,*
19 d,Waser Reto *,52.75,*
22,Wey Nicola **,37.25,**
24 b,Wyss Christian *,35.25,*
25 c,Schnurrenberger Roman **,34.75,**
27 a,Emonet Frédéric **,34.25,**
Inner,weizer Schwingerverband,,Schwingerverband
15 d,Odermatt Andreas **,54.00,**
15 g,Thierstein Marco *,54.00,*
16 b,Müller Luca (2004) *,53.75,*
18 a,Schuler Daniel *,53.00,*
19 b,Jund Matthias *,52.75,*
20,Kramer Dorian **,52.50,**
23,Colò Kilian **,35.50,**
25 a,Gottofrey Marc **,34.75,**
26 a,Dousse Michel **,34.50,**
27 b,Fankhauser Hans *,34.25,*
15 e,Riedo Fredy *,54.00,*
15 h,Wiget Ueli *,54.00,*
17 a,Hürlimann Mathias *,53.50,*
18 b,Wetter Silvan *,53.00,*
19 c,Scherer Niklaus **,52.75,**
21,Hofer Sven **,45.75,**
24 a,Elsener Marcel *,35.25,*
25 b,Zurﬂuh Roman **,34.75,**
26 b,Lustenberger Josef *,34.50,*
27 c,Blaser Christian **,34.25,**
28 a,Ammann Rico *,34.00,*
29,Arnold Stefan **,28.00,**
32,Nötzli Reto ***,18.50,***
* Kan,nal- bzw. Gauverbandskranzschwin,ger ** T,Gauverbandskranzschwin
Inner,weizer Schwingerverband,,Schwingerverband
28 b,Schiesser Patrik *,34.00,*
30,Suter Pirmin **,27.00,**
33,Müllestein Mike ***,17.25,***
lverb,dskranzschwinger *** Eidg. Kranzs,chwinge,Kranzs
28 c,Würsch Lars *,34.00,*
31,Kurmann Toni **,26.75,**
34,Ulrich Marco **,8.50,**
