5266: 5266-2022-06-12_Buendner-Glarner_Kantonalschwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Schmid Dominik;**;18.75
1;2a;Buchmann Michael;;10.0
1;2b;Widmer Thomas;;10.0
1;2c;Landolt Reto;*;10.0
1;2d;Castelli Fabio;*;10.0
1;2e;Durrer Jonas;*;10.0
1;2f;Manser Adrian;;10.0
1;2g;Lacher Tobias (2005);;10.0
1;2h;Signer Tobias (2004);;10.0
1;2i;Müller Josias (2006);;10.0
1;2j;Horner Sämi;;10.0
1;2k;Biäsch Christian;*;10.0
1;2l;Dobler Martin;;10.0
1;2m;Good Marco;**;10.0
1;2n;Mösli Timo (2006);;10.0
1;2o;Hurschler Adrian;;10.0
1;2p;Rogenmoser Linus;;10.0
1;2q;Lüthi Manuel;*;10.0
1;2r;Gantenbein Linard (2004);;10.0
1;2s;Rüger Damian;;10.0
1;2t;Büchler Livio;;10.0
1;2u;Stadelmann Patrick;;10.0
1;2v;Rychen Roger;***;10.0
1;2w;Koch Thomas;*;10.0
1;2x;Inauen Aurel;;10.0
1;3a;Flütsch Marco;;9.75
1;3b;Hari Michi;;9.75
1;3c;Brülisauer Dominik;;9.75
1;3d;Dumelin David;**;9.75
1;3e;Lehmann Philipp;*;9.75
1;3f;Dörig Maurus (2004);;9.75
1;3g;Bless Michael;***;9.75
1;3h;Jörger Corsin;*;9.75
1;3i;Kolb Pirmin;*;9.75
1;3j;Bachmann Oliver (2004);;9.75
1;3k;Dändliker Shane;**;9.75
1;3l;Hochholdinger Roman;**;9.75
1;3m;Joos Roman (2005);;9.75
1;3n;Tsirkin Stepan;;9.75
1;3o;Joos Enrico;*;9.75
1;3p;Vetterli Sven;;9.75
1;3q;Bossert Luc (2006);;9.75
1;3r;Kiser Aron;;9.75
1;3s;Keller Dominic;;9.75
1;3t;Mettler Valentin;*;9.75
1;3u;Schlegel Jamie (2004);;9.75
1;3v;Hobi Ignaz;*;9.75
1;3w;Fässler Tobias;;9.75
1;3x;Bucher Roman;;9.75
1;3y;Tschudi Mario;;9.75
1;3z;Koch Reto;*;9.75
1;4a;Lazzarotto Salomon (2005);;9.0
1;4b;Oettli Silvio;**;9.0
1;4c;Schiesser Patrik;*;9.0
1;4d;Plüer Fabian;;9.0
1;4e;Schläpfer Markus;**;9.0
1;4f;Schläpfer Matthias;*;9.0
1;5a;Thiemann Fabrice;;8.75
1;5b;Rüegg Fabian;*;8.75
1;5c;Poltera Andrin;**;8.75
1;5d;Ackermann Rico;*;8.75
1;5e;Odermatt Michi;;8.75
1;5f;Odermatt Andreas;**;8.75
1;5g;Egli Martin;*;8.75
1;5h;Brügger Stefan;*;8.75
1;5i;Roth Martin;***;8.75
1;5j;Orlik Armon;***;8.75
1;5k;Kindlimann Fabian;***;8.75
1;5l;Kurmann Patrick;*;8.75
1;5m;Giger Samuel;***;8.75
1;5n;Räbsamen Marcel;**;8.75
1;5o;Nock Benjamin;*;8.75
1;5p;Riget Florian;**;8.75
1;5q;Rotach Lars;*;8.75
1;5r;Feldmann Patrik (2005);;8.75
1;5s;Korrodi Janik (2004);;8.75
1;5t;Funk Nicola;*;8.75
1;5u;Odermatt Christian;**;8.75
1;5v;Pianta Christian;*;8.75
1;5w;Lanter Christian;*;8.75
1;5x;Habegger Andrin (2005);;8.75
1;5y;Odermatt Gian Maria (2004);*;8.75
1;5z;Gmür Pirmin;**;8.75
1;5z1;Riget Tobias;**;8.75
1;5z2;Hänni Marc;;8.75
1;5z3;Ammann Rico;*;8.75
1;5z4;Fausch Kjetil;*;8.75
1;6a;Baumann Rico;*;8.5
1;6b;Nay Kyron (2006);;8.5
1;6c;Schiess Daniel;;8.5
1;6d;Jörger Marc;*;8.5
1;6e;Schoch René;;8.5
1;6f;Kühne Cyrill (2004);;8.5
1;6g;Bleiker Daniel;;8.5
1;6h;Signer Walter;;8.5
1;6i;Wagner Andreas;;8.5
1;6j;Ackermann Remo;*;8.5
1;6k;Spörndli Cyril;;8.5
1;6l;Barmettler Renato;*;8.5
1;6m;Bernhard Thomas;;8.5
1;6n;Hengartner Ivo;*;8.5
1;6o;Fejzaj Naim;**;8.5
1;6p;Keller Cedric;;8.5
1;6q;Wehrli Jan;;8.5
1;6r;Brasser Gian-Claudio;;8.5
1;6s;Baumgartner Ramon;**;8.5
1;6t;Nef Tobias (2005);;8.5
1;6u;Heierli Pascal;**;8.5
1;6v;Mathys Stefan (2005);;8.5
1;6w;Walser Aaron (2006);;8.5
1;6x;Rust Emanuel;;8.5
1;6y;Inauen Maurus;;8.5
1;6z;Bernold Edi;**;8.5
1;6z1;Nietlispach Pascal;**;8.5
